file,color
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2379.jpg,green
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_5416.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,teal
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,gray
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,white
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,purple
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_4708.jpg,black
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,maroon
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,silver
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,orange
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,olive
/Users/pranoy/Desktop/pookalam/static/pookalams/pook_v1_data_2392.jpg,gray
